Discipline,Semester,Category,Credits,Course Code,Course Title,Mandatory,Weightage,Hardness
Business Information,7,DSE,2,UK7DSECOM400,Behavioural Finance,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM315,"Travel Agency, Tour Operation and Airline Management",0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM314,Tourism Marketing,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM313,Aviation and Cargo Management,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM312,Port Management,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM311,Assessment of Companies and Corporate Tax Planning,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM310,"Customs Duty Regulations, Compliance and Export Strategies",0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM309,Digital Marketing,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM308,Service Marketing,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM307,Web Technology in Business,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM306,Advanced Tools for Business Analysis,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM305,Forex Management,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM304,International Human Resource Management,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM303,Co-operative Accounting and Auditing,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM302,Co-operative Governance,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM201,Co-operation and Community Development,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM200,Financial Markets and Services,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM207,Principles and Practices of Tourism,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM206,Introduction to Logistics Management,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM205,Introduction to Indian Taxation System,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM204,Consumer Behaviour,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM203,Computer Application in Business,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM202,International Business,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM201,Conceptual Framework of Co-operation,0.0,0.2,0.4
Tourism and Travel,3,DSE,2,UK3DSECOM200,Investment Management,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM407,Eco-Tourism and Sustainable Development,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM406,International Logistics Management,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM405,International Taxation,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM404,International Marketing,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM403,Database Management System,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM402,Global Taxation Regime,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM309,Advertising and Sales Promotion,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM308,Retail Management,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM307,Project Methodology,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM306,Computerised Accounting,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM305,International Financial Management,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM304,Export Import Management,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM303,Co-operative Legal Framework,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM302,Global Perspectives in Co-operatives,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM301,FINTECH,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM300,Stock Exchanges: Operations and Regulations,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM207,Tourism Geography,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM206,Fundamentals of Supply Chain Management,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM205,Theory and Practice of Personal Income Tax,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM204,Brand Management,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM203,Software for Data Analysis,0.0,0.2,0.4
Tourism and Travel,4,DSE,2,UK4DSECOM202,Legal Framework of International Business,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM309,Digital Marketing,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM308,Service Marketing,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM307,Web Technology in Business,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM306,Advanced Tools for Business Analysis,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM305,Forex Management,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM304,International Human Resource Management,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM303,Co-operative Accounting and Auditing,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM302,Co-operative Governance,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM301,Financial Derivatives,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM300,Security Analysis and Portfolio Management,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM315,MICE Tourism,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM314,Tourism Products,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM313,Warehousing,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM312,Procurement and Transportation,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM311,Essentials of Goods and Service Tax,0.0,0.2,0.4
Tourism and Travel,5,DSE,2,UK5DSECOM310,Income Tax Assessment,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM201,Conceptual Framework of Co-operation,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM200,Investment Management,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM407,Eco-Tourism and Sustainable Development,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM406,International Logistics Management,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM405,International Taxation,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM404,International Marketing,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM403,Database Management System,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM402,Global Taxation Regime,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM401,Co-operative Research and Digital Application,0.0,0.2,0.4
Tourism and Travel,7,DSE,2,UK7DSECOM400,Behavioural Finance,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM315,"Travel Agency, Tour Operation and Airline Management",0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM314,Tourism Marketing,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM313,Aviation and Cargo Management,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM312,Port Management,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM311,Assessment of Companies and Corporate Tax Planning,0.0,0.2,0.4
Tourism and Travel,6,DSE,2,UK6DSECOM310,"Customs Duty Regulations, Compliance and Export Strategies",0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM301,FINTECH,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM300,Stock Exchanges: Operations and Regulations,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM207,Tourism Geography,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM206,Fundamentals of Supply Chain Management,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM205,Theory and Practice of Personal Income Tax,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM204,Brand Management,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM203,Software for Data Analysis,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM202,Legal Framework of International Business,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM201,Co-operation and Community Development,0.0,0.2,0.4
International Business,4,DSE,2,UK4DSECOM200,Financial Markets and Services,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM207,Principles and Practices of Tourism,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM206,Introduction to Logistics Management,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM205,Introduction to Indian Taxation System,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM204,Consumer Behaviour,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM203,Computer Application in Business,0.0,0.2,0.4
International Business,3,DSE,2,UK3DSECOM202,International Business,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM301,Financial Derivatives,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM300,Security Analysis and Portfolio Management,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM315,MICE Tourism,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM314,Tourism Products,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM313,Warehousing,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM312,Procurement and Transportation,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM311,Essentials of Goods and Service Tax,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM310,Income Tax Assessment,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM309,Advertising and Sales Promotion,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM308,Retail Management,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM307,Project Methodology,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM306,Computerised Accounting,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM305,International Financial Management,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM304,Export Import Management,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM303,Co-operative Legal Framework,0.0,0.2,0.4
International Business,5,DSE,2,UK5DSECOM302,Global Perspectives in Co-operatives,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM401,Co-operative Research and Digital Application,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM400,Behavioural Finance,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM315,"Travel Agency, Tour Operation and Airline Management",0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM314,Tourism Marketing,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM313,Aviation and Cargo Management,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM312,Port Management,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM311,Assessment of Companies and Corporate Tax Planning,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM310,"Customs Duty Regulations, Compliance and Export Strategies",0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM309,Digital Marketing,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM308,Service Marketing,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM307,Web Technology in Business,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM306,Advanced Tools for Business Analysis,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM305,Forex Management,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM304,International Human Resource Management,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM303,Co-operative Accounting and Auditing,0.0,0.2,0.4
International Business,6,DSE,2,UK6DSECOM302,Co-operative Governance,0.0,0.2,0.4
Communicative,6,DSE,2,UK6DSEECE301,Queer Narratives,0.0,0.2,0.4
Communicative,6,DSE,2,UK6DSEECE300,Introducing Health Humanities,0.0,0.2,0.4
Communicative,5,DSE,2,UK5DSEECE302,Introduction to Comparative Literature Studies,0.0,0.2,0.4
Communicative,5,DSE,2,UK5DSEECE301,Introduction to Postcolonial Studies,0.0,0.2,0.4
Communicative,5,DSE,2,UK5DSEECE300,Introduction to Dalit Studies,0.0,0.2,0.4
Communicative,4,DSE,2,UK4DSEECE201,Selections from American Literature,0.0,0.2,0.4
Communicative,4,DSE,2,UK4DSEECE200,Adaptation Studies in Folklore,0.0,0.2,0.4
Communicative,3,DSE,2,UK3DSEECE202,Game Studies,0.0,0.2,0.4
Communicative,3,DSE,2,UK3DSEECE201,Evolution of English Language,0.0,0.2,0.4
Communicative,3,DSE,2,UK3DSEECE200,Phonetics and Phonology,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM407,Eco-Tourism and Sustainable Development,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM406,International Logistics Management,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM405,International Taxation,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM404,International Marketing,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM403,Database Management System,0.0,0.2,0.4
International Business,7,DSE,2,UK7DSECOM402,Global Taxation Regime,0.0,0.2,0.4
FYUGP Economics,7,DSE,2,UK7DSEECO402,Econometrics II,0.0,0.2,0.4
FYUGP Economics,7,DSE,2,UK7DSEECO401,Mathematics For Economics II,0.0,0.2,0.4
FYUGP Economics,7,DSE,2,UK7DSEECO400,Open-Economy Macroeconomics,0.0,0.2,0.4
FYUGP Economics,6,DSE,2,UK6DSEECO302,Gender Economics,0.0,0.2,0.4
FYUGP Economics,6,DSE,2,UK6DSEECO301,Financial Econometrics,0.0,0.2,0.4
FYUGP Economics,6,DSE,2,UK6DSEECO300,Kerala Economy,0.0,0.2,0.4
FYUGP Economics,5,DSE,2,UK5DSEECO302,Artificial Intelligence and Machine Learning In Economics,0.0,0.2,0.4
